ID,SMILES,Cluster,Name
0,[Cl-],0,chloride
1,NCC(n1cccn1)n1cccn1,0,"2,2-di(pyrazol-1-yl)ethanamine"
2,O=C([O-])C(F)(F)F,0,"2,2,2-trifluoroacetate"
3,O,0,oxidane
4,c1cc[cH-]c1,0,"cyclopenta-1,3-diene"
5,O=S(=O)([O-])C(F)(F)F,0,trifluoromethanesulfonate
6,[CH-2]C(C)(C)C,0,
7,CCOCC,0,ethoxyethane
8,CCP(CC)CCP(CC)CC,0,2-diethylphosphanylethyl(diethyl)phosphane
9,CCP(CC)CC,0,triethylphosphane
10,[H],0,molecular hydrogen
11,Fc1[c-]c(F)c(F)c(F)c1F,0,"1,2,3,4,5-pentafluorobenzene-6-ide"
12,[CH2-]C(C)(C)C,0,2-methanidyl-2-methylpropane
13,[C-]#C[Si](C)(C)C(C)(C)C,0,
14,CSC,0,methylsulfanylmethane
15,[Br-],0,bromide
16,C[NH+](C)C,0,trimethylazanium
17,C[Si](C)(C)N[Si](C)(C)C,0,[dimethyl-(trimethylsilylamino)silyl]methane
18,CC(C)(C)P(N1C=CN(P(C(C)(C)C)C(C)(C)C)[CH-]1)C(C)(C)C,0,
19,CC#N,0,acetonitrile
20,C#CC(=O)[O-],0,prop-2-ynoate
21,C=CCOP(C(C)C)C(C)C,0,
22,Cl[As-]Cl,0,
23,CCOCCN1C=CN(CCOCC)[CH-]1,0,
24,[CH2-][P](C(=O)[N-]C(C)(C)C)(C(C)(C)C)C(C)(C)C,0,
25,CC(=S)C=C(C)[N-]CC[N-]C(C)=CC(C)=S,0,
26,CC(C)P(CN(C)C)C(C)C,0,"1-di(propan-2-yl)phosphanyl-N,N-dimethylmethanamine"
27,CN(C)CCP(C(C)(C)C)C(C)(C)C,0,
28,CSCCNCCN,0,"N'-(2-methylsulfanylethyl)ethane-1,2-diamine"
29,CC([O-])=CC(C)=NCCCCN=C(C)C=C(C)[O-],0,
30,CCN=C(C)C=C(C)[N-]CC,0,
31,CN(C)CC=CCN(C)C,0,"N,N,N',N'-tetramethylbut-2-ene-1,4-diamine"
32,COP(OC)OC,0,trimethyl phosphite
33,CC(=NO)C(C)=NCCN,0,N-[3-(2-aminoethylimino)butan-2-ylidene]hydroxylamine
34,CC(=[N-])CC(C)(C)N,0,
35,[O-2],0,oxygen(2-)
36,CO[C-2]C=C(C)C,0,
37,[CH2-]C(C)=C[C-2]OC,0,
38,CN(C)[Si](C)(C)N(C)C,0,N-[dimethylamino(dimethyl)silyl]-N-methylmethanamine
39,CCN(CC)[SiH+](C)(C)N(CC)CC,0,
40,[N-]=C=S,0,thiocyanate
41,CN1C=CN(CN2C=CN(CN3C=CN(CN4C=CN(C)[CH-]4)[CH-]3)[CH-]2)[CH-]1,0,
42,CN1C=CN(CN2C=CN(CCCN3C=CN(CN4C=CN(C)[CH-]4)[CH-]3)[CH-]2)[CH-]1,0,
43,CP(C)C,0,trimethylphosphane
44,Fc1c(F)c(F)c([S-])c(F)c1F,0,"2,3,4,5,6-pentafluorobenzenethiolate"
45,CN(C)[C-2]S[C-2]N(C)C,0,
46,[CH3-],0,carbanide
47,CC(C)(C)P(CCCN)C(C)(C)C,0,3-ditert-butylphosphanylpropan-1-amine
48,O=[N+]([O-])[O-],0,nitrate
49,CCO,0,ethanol
50,CC(C)(C)C#N,0,"2,2-dimethylpropanenitrile"
51,F[C-](F)C(F)(F)C(F)(F)F,0,"1,1,1,2,2,3,3-heptafluoropropane"
52,[I-],0,iodide
53,C[Si](C)(C)C([P](=[Se])[CH-][C-]=O)[Si](C)(C)C,0,
54,[B-]1[B-][B-][B-][B-]1,0,
55,CC(C)=O,0,propan-2-one
56,CC(C)(C)[O-],0,2-methylpropan-2-olate
57,CC(C)(C)[N-2],0,
58,[F-],0,fluoride
59,CC(C)[N-]C(=N[Si](C)(C)C)[N-]C(C)C,0,
60,[N-]=[N+]=[N-],0,azide
61,[O-][Cl+3]([O-])([O-])[O-],0,perchlorate
62,CC(=O)N[O-],0,N-oxidoacetamide
63,CC(C)=N[NH-],0,(propan-2-ylideneamino)azanide
