SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Equilibrium,Ionic,Temperature,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order,Dissociating_Group,Functional_Group_pKa_Ranges
NCC(O)=O,9.57,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.1,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.25,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.15,37.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.54,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.5,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.59,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.7,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.66,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],1.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.8,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],2.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.82,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],2.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.93,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],3.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,10.07,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],3.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,10.2,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],3.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,10.198,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.0,10.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.778,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,9.41,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.0,40.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.33,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],0.1,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.33,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],0.15,37.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.39,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],0.5,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.4,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],0.7,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.44,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],1.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.51,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],2.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.57,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],2.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.61,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],2.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
