SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order
N[C@@H](CO[P](O)(O)=O)C(O)=O,9.8,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,9.66,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,9.71,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,9.59,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,5.7,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,5.77,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,5.89,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,5.54,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,5.5,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,5.53,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
