smiles,pka_values,functional_groups,mapping,pka_matrix
OC(=O)Cc1cccnc1,"[3.06, 5.54]","[{'type': 'COOH', 'indices': [0]}, {'type': 'Pyridine', 'indices': [8]}]","{'3.06': {'type': 'Pyridine', 'indices': [8]}, '5.54': {'type': 'COOH', 'indices': [0]}}","[(8, 3.06), (0, 5.54)]"
COc1cc(CC(O)=O)ccc1O,"[4.31, 9.76]","[{'type': 'COOH', 'indices': [7]}, {'type': 'Phenol', 'indices': [12]}]","{'4.31': {'type': 'COOH', 'indices': [7]}, '9.76': {'type': 'Phenol', 'indices': [12]}}","[(7, 4.31), (12, 9.76)]"
Cc1ccc(S)cc1,[6.82],"[{'type': 'Thiol', 'indices': [5]}]","{'6.82': {'type': 'Thiol', 'indices': [5]}}","[(5, 6.82)]"
CCC(=O)NCC(O)=O,[3.72],"[{'type': 'COOH', 'indices': [7]}]","{'3.72': {'type': 'COOH', 'indices': [7]}}","[(7, 3.72)]"
CCOc1cccc(N)c1,[4.17],"[{'type': 'Aniline', 'indices': [8]}]","{'4.17': {'type': 'Aniline', 'indices': [8]}}","[(8, 4.17)]"
OC(=O)c1ccc(cc1C(O)=O)[N+]([O-])=O,"[2.02, 4.28]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [10]}]","{'2.02': {'type': 'COOH', 'indices': [0]}, '4.28': {'type': 'COOH', 'indices': [10]}}","[(0, 2.02), (10, 4.28)]"
OC(CC(O)=O)c1ccccc1,[4.4],"[{'type': 'COOH', 'indices': [4]}]","{'4.4': {'type': 'COOH', 'indices': [4]}}","[(4, 4.4)]"
CCc1sc(N)nn1,[3.35],"[{'type': 'Aniline', 'indices': [5]}]","{'3.35': {'type': 'Aniline', 'indices': [5]}}","[(5, 3.35)]"
CC(O)(C(O)=O)c1ccccc1,[3.53],"[{'type': 'COOH', 'indices': [4]}]","{'3.53': {'type': 'COOH', 'indices': [4]}}","[(4, 3.53)]"
OCCNCCc1ccccn1,"[3.15, 7.94]","[{'type': 'Pyridine', 'indices': [11]}, {'type': 'SecondaryAmine', 'indices': [3]}]","{'3.15': {'type': 'Pyridine', 'indices': [11]}, '7.94': {'type': 'SecondaryAmine', 'indices': [3]}}","[(11, 3.15), (3, 7.94)]"
CC(O)([P](O)(O)=O)[P](O)(O)=O,"[1.6, 2.55, 6.83, 10.47]","[{'type': 'Phosphate', 'indices': [4]}, {'type': 'Phosphate', 'indices': [5]}, {'type': 'Phosphate', 'indices': [8]}, {'type': 'Phosphate', 'indices': [9]}]","{'1.6': {'type': 'Phosphate', 'indices': [4]}, '2.55': {'type': 'Phosphate', 'indices': [5]}, '6.83': {'type': 'Phosphate', 'indices': [8]}, '10.47': {'type': 'Phosphate', 'indices': [9]}}","[(4, 1.6), (5, 2.55), (8, 6.83), (9, 10.47)]"
CCCCCSCC(O)=O,[3.64],"[{'type': 'COOH', 'indices': [8]}]","{'3.64': {'type': 'COOH', 'indices': [8]}}","[(8, 3.64)]"
Nc1ccc(SCC(O)=O)cc1,"[2.99, 4.48]","[{'type': 'COOH', 'indices': [8]}, {'type': 'Aniline', 'indices': [0]}]","{'2.99': {'type': 'COOH', 'indices': [8]}, '4.48': {'type': 'Aniline', 'indices': [0]}}","[(8, 2.99), (0, 4.48)]"
OC(=O)CN(CC(O)=O)c1ccccc1S,"[2.85, 6.3, 9.54]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'Thiol', 'indices': [15]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.85': {'type': 'COOH', 'indices': [0]}, '6.3': {'type': 'Thiol', 'indices': [15]}, '9.54': {'type': 'TertiaryAmine', 'indices': [4]}}","[(0, 2.85), (15, 6.3), (4, 9.54)]"
