molecule_name,smiles,pka_positions,pka_values,true_pka_positions,true_pka_values
Train_Molecule_1113,OC(=O)Cc1cccnc1,[],[],"[8, 0]","[3.06, 5.54]"
Train_Molecule_967,COc1cc(CC(O)=O)ccc1O,[],[],"[7, 12]","[4.31, 9.76]"
Train_Molecule_598,Cc1ccc(S)cc1,[],[],[5],[6.82]
Train_Molecule_170,CCC(=O)NCC(O)=O,[],[],[7],[3.72]
Train_Molecule_275,CCOc1cccc(N)c1,[],[],[8],[4.17]
Train_Molecule_1140,OC(=O)c1ccc(cc1C(O)=O)[N+]([O-])=O,[8],[33996943360.0],"[0, 10]","[2.02, 4.28]"
Train_Molecule_209,OC(CC(O)=O)c1ccccc1,[],[],[4],[4.4]
Train_Molecule_342,CCc1sc(N)nn1,[],[],[5],[3.35]
Train_Molecule_140,CC(O)(C(O)=O)c1ccccc1,[],[],[4],[3.53]
Train_Molecule_926,OCCNCCc1ccccn1,[],[],"[11, 3]","[3.15, 7.94]"
Train_Molecule_1285,CC(O)([P](O)(O)=O)[P](O)(O)=O,[],[],"[4, 5, 8, 9]","[1.6, 2.55, 6.83, 10.47]"
Train_Molecule_199,CCCCCSCC(O)=O,[],[],[8],[3.64]
Train_Molecule_901,Nc1ccc(SCC(O)=O)cc1,[7],[127340384.0],"[8, 0]","[2.99, 4.48]"
Train_Molecule_1189,OC(=O)CN(CC(O)=O)c1ccccc1S,[],[],"[0, 15, 4]","[2.85, 6.3, 9.54]"
Train_Molecule_522,C[Se]c1cccc2cccnc12,[],[],[10],[3.25]
Train_Molecule_10,Cc1csc(N)n1,[],[],[5],[5.95]
Train_Molecule_147,OCNC(=O)c1cccnc1,[],[],[9],[3.41]
Train_Molecule_1329,NCCCC[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCCN)C(O)=O,"[14, 15, 19, 23, 25, 26]","[4.30625653163819e+17, 2.3423798149644288e+17, 3.344046693258625e+18, 1.3881432225926349e+17, 3.221108374011642e+18, 3.041813692929802e+17]","[26, 0, 6, 15, 24]","[2.8, 7.18, 9.68, 10.43, 11.31]"
Train_Molecule_282,CCOC(=O)c1cc(C)nc(C)c1,[],[],[9],[5.27]
Train_Molecule_984,COCc1cc(C)nc(N)c1CN,[],[],"[9, 12]","[5.78, 8.96]"
Train_Molecule_660,CC(C(O)=O)C(O)=O,[],[],"[3, 6]","[2.89, 5.36]"
Train_Molecule_858,NCCSCc1ccccn1,[],[],"[10, 0]","[4.21, 9.28]"
Train_Molecule_1239,N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(O)=O,"[1, 8, 17, 19]","[2717550093795328.0, 3479243484823552.0, 844895363268608.0, 839051389173760.0]","[19, 0, 7]","[3.22, 7.37, 10.09]"
Train_Molecule_903,Nc1c(O)cccc1C(O)=O,[],[],"[0, 3]","[5.19, 10.12]"
Train_Molecule_513,NCC1CCCCC1,[2],[84592.734375],[0],[10.7]
Train_Molecule_410,Nc1ncccn1,[4],[9199.09375],[0],[3.89]
Train_Molecule_297,CCc1cccc(O)c1,[],[],[7],[10.07]
Train_Molecule_394,O=Cc1ccncc1,[],[],[5],[4.65]
Train_Molecule_135,CC1=CC(=CC(=O)O1)O,[],[],[8],[4.76]
Train_Molecule_682,CC(C)(NC(=O)CNC(=O)CN)C(=O)NCC(O)=O,"[0, 1, 2, 3, 7, 9, 13, 15]","[17541185404928.0, 138864211525632.0, 51674936770560.0, 37462495723520.0, 43878996508672.0, 13209868173312.0, 9521232609280.0, 23020542361600.0]","[17, 11]","[3.55, 7.98]"
Train_Molecule_447,COc1ccccc1[Se]CC(O)=O,[],[],[11],[3.76]
Train_Molecule_581,Cc1ccccc1SCC(O)=O,[],[],[10],[3.27]
Train_Molecule_529,C[C@H](NC(C)=O)C(O)=O,[],[],[7],[3.71]
Train_Molecule_490,NCCSCCO,[],[],[0],[9.27]
Train_Molecule_1061,OC(=O)CSCC(O)=O,[1],[1730.2327880859375],"[0, 7]","[3.26, 4.19]"
Train_Molecule_158,CCC(C)C(N)C(=O)OC,[],[],[5],[7.54]
Train_Molecule_1157,Cc1ncc(CO)c(CO)c1O,[],[],"[2, 11]","[4.83, 8.86]"
Train_Molecule_1241,N[C@@H](Cc1ccc(O)cc1)C(=O)NO,[],[],"[7, 0, 13]","[6.96, 8.92, 9.93]"
Train_Molecule_1160,C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,"[2, 5, 6, 7, 20]","[2.1686550192707338e+18, 8.85867722406101e+18, 3.0891535096610816e+18, 2.2265836140138332e+19, 7.983166351432745e+17]","[20, 23, 16]","[3.13, 4.08, 7.77]"
Train_Molecule_352,OC(=O)CBr,[],[],[0],[2.82]
Train_Molecule_824,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CN)C(O)=O,"[1, 2, 7, 15]","[1221022292377600.0, 88515685646336.0, 380831327584256.0, 325997916323840.0]","[19, 17]","[3.52, 8.1]"
