molecule_name,smiles,pka_positions,pka_values,true_pka_positions,true_pka_values
Molecule_0,C1CCCNCCC1,[4],[9.709036827087402],[4],[11.1]
Molecule_1,C1CCNC1,[3],[9.786185264587402],[3],[11.35]
Molecule_2,C1CCNCC1,[3],[9.607281684875488],[3],[11.12]
Molecule_3,C1CN(CCN1)c2ccccc2,[5],[9.298171043395996],[5],[8.6]
Molecule_4,Cc1sc(N)nn1,[4],[3.47495174407959],[4],[3.2]
Molecule_5,Cn1c(C)nc2c(N)ncnc12,[7],[4.282901287078857],[7],[4.51]
Molecule_6,Cn1c(N)nc2cncnc12,[3],[4.4516119956970215],[3],[4.62]
Molecule_7,C(c1ccccc1)c2ccccn2,[12],[5.163118839263916],[12],[5.12]
Molecule_8,Cc1cnc2c(c1)c(C)c(C)c3cc(C)cnc23,"[3, 16]","[5.236664772033691, 4.704765796661377]",[3],[5.8]
Molecule_9,Cc1cncc(C)c1,[3],[5.634439468383789],[3],[6.25]
Molecule_10,Cc1csc(N)n1,[5],[4.501301288604736],[5],[5.95]
Molecule_11,Cc1nccn1C=C,"[2, 5]","[6.4336137771606445, 5.823489665985107]",[2],[7.09]
Molecule_12,Cc1ccnc(N)n1,"[4, 6]","[5.244305610656738, 4.280086040496826]",[6],[3.89]
Molecule_13,Cc1ccnc(c1)c2cc(C)ccn2,"[4, 13]","[5.4687910079956055, 5.2469024658203125]",[4],[5.34]
Molecule_14,Cc1ccnc2c1ccc3c(C)ccnc23,"[4, 14]","[5.362555980682373, 5.087917804718018]",[4],[5.95]
Molecule_15,Cc1ccncc1,[4],[5.2728776931762695],[4],[6.08]
Molecule_16,[O-][N+](=O)c1cccc(S)c1,[8],[5.18259334564209],[8],[5.24]
Molecule_17,[O-][N+](=O)c1ccccc1S,[9],[5.484099388122559],[9],[5.45]
Molecule_18,[O-][n+]1ccccc1S,[7],[6.031610488891602],[1],[4.43]
Molecule_19,[SeH]c1cccc2cccnc12,[9],[4.778980731964111],[9],[8.41]
Molecule_20,CC(=C\C(O)=O)/C(O)=O,"[4, 7]","[4.290817737579346, 3.156008243560791]",[4],[4.82]
Molecule_21,CC(=NO)C(C)(C)N,"[3, 7]","[5.169403553009033, 8.766905784606934]",[7],[8.99]
Molecule_22,[Cl-].NC12CC3CC(CC(C3)C1)C2.[H+],[1],[9.653460502624512],[1],[10.55]
Molecule_23,[O-][N+](=O)c1cc2cccnc2c3ncccc13,[12],[5.078027725219727],[9],[3.24]
Molecule_24,[O-][N+](=O)c1ccc(O[P](O)(O)=O)cc1,"[9, 10]","[5.197748184204102, 5.197748184204102]",[9],[5.01]
Molecule_25,[O-][N+](=O)c1ccc(S)cc1,[7],[5.968721389770508],[7],[4.61]
Molecule_26,C=CCCCc1ccccn1,[10],[5.303336143493652],[10],[5.97]
Molecule_27,C=CCCc1ccccn1,[9],[5.327856063842773],[9],[5.88]
Molecule_28,C=CCc1ccccn1,[8],[5.001875400543213],[8],[5.34]
Molecule_29,C=Cc1ccccn1,[7],[4.963563919067383],[7],[5.01]
Molecule_30,C=Cc1ccncc1,[5],[5.047387599945068],[5],[5.4]
Molecule_31,Brc1cc2cccnc2c3ncccc13,"[7, 10]","[4.929854393005371, 5.30051326751709]",[7],[4.09]
Molecule_32,Brc1cccnc1,[5],[5.25332498550415],[5],[2.98]
Molecule_33,Brc1ccncc1,[4],[5.073460578918457],[4],[3.68]
Molecule_34,C1CN2CCC1CC2,[2],[9.69632625579834],[2],[11.15]
Molecule_35,C1CNC1,[2],[9.887009620666504],[2],[11.29]
Molecule_36,CC(C)(C(O)=O)[N+]([O-])=O,[4],[2.997495651245117],[4],[1.81]
Molecule_37,CC(C)(C)N,[4],[8.791041374206543],[4],[10.69]
Molecule_38,CC(C)(C)Nc1ccccc1,[],[],[4],[7.14]
Molecule_39,Oc1ccc(cc1)[S](O)(=O)=O,[0],[7.196038246154785],[0],[8.79]
Molecule_40,Oc1ccc(cc1Br)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)c(Br)c4,[0],[7.196038246154785],[0],[6.14]
Molecule_41,CC(=O)Oc1ccccc1C(O)=O,[11],[4.042965412139893],[11],[3.45]
Molecule_42,CC(=O)c1c(C)cc(C)nc1C,[],[],[9],[5.91]
Molecule_43,CC(=O)c1ccc(S)cc1,[7],[6.527177810668945],[7],[5.33]
Molecule_44,CC(=O)c1cccnc1,[7],[4.430235385894775],[7],[3.38]
Molecule_45,CC(=O)c1ccncc1,[6],[4.181778907775879],[6],[3.6]
Molecule_46,CC(C)(C#N)C(O)=O,[6],[2.318272113800049],[6],[2.42]
Molecule_47,Sc1cccc2ccccc12,[0],[6.810035228729248],[0],[6.34]
Molecule_48,Sc1ccccc1,[0],[7.101999759674072],[0],[6.5]
Molecule_49,Sc1ccccc1Br,[0],[7.101999759674072],[0],[5.66]
Molecule_50,[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,[17],[4.2124223709106445],[17],[4.79]
Molecule_51,CC(=O)NO,[4],[9.182543754577637],[4],[9.18]
Molecule_52,CC(=O)Nc1ccccn1,[9],[4.449028491973877],[9],[4.15]
Molecule_53,CC(=O)Nc1cccnc1,[8],[3.9135823249816895],[8],[4.57]
Molecule_54,CC(=O)OCC(O)=O,[6],[4.108768463134766],[6],[2.81]
Molecule_55,Oc1ccccc1F,[0],[7.342963218688965],[0],[8.6]
Molecule_56,Oc1ccccc1I,[0],[7.342963218688965],[0],[8.51]
Molecule_57,SC#N,[0],[2.6448867321014404],[0],[0.93]
Molecule_58,Sc1ccc(Br)cc1,[0],[6.804457664489746],[0],[6.02]
Molecule_59,Sc1ccc2ccccc2c1,[0],[6.982293128967285],[0],[6.47]
Molecule_60,CC(C)(N)C(N)=O,[3],[8.632234573364258],[3],[8.06]
Molecule_61,CC(C)(N)CO,[3],[8.632234573364258],[3],[9.82]
Molecule_62,CC(C)(NC(N)=O)C(O)=O,[8],[4.117857456207275],[8],[4.46]
Molecule_63,CC(C)(O)C(O)=O,[5],[3.193098545074463],[5],[3.85]
Molecule_64,CC(C)(O)CCC(O)=O,[7],[4.167072296142578],[7],[4.69]
