epoch,train_loss,train_cla_loss,train_reg_loss,test_loss,test_cla_loss,test_reg_loss,test_classification_metrics
0,46.67274749246496,1.249894121374635,45.422853371494995,47.28753113844089,0.9600677571439613,46.32746337183652,"{'accuracy': 0.13472447325769854, 'precision': 0.1343737332792866, 'recall': 1.0, 'f1': 0.23691263176701804, 'pka_atom_accuracy': 1.0, 'confusion_matrix': {'tn': 2, 'fp': 4271, 'fn': 0, 'tp': 663}}"
1,12.820129580053756,0.39818733586519345,12.421942246482738,8.599984901030966,0.3234482729142628,8.276536626589506,"{'accuracy': 0.8656807131280388, 'precision': 0, 'recall': 0.0, 'f1': 0, 'pka_atom_accuracy': 0.0, 'confusion_matrix': {'tn': 4273, 'fp': 0, 'fn': 663, 'tp': 0}}"
2,8.555064651982969,0.29846460891615645,8.256600050576424,7.248931283846863,0.1862801876558595,7.062651093291289,"{'accuracy': 0.9195705024311183, 'precision': 0.759765625, 'recall': 0.5867269984917044, 'f1': 0.6621276595744681, 'pka_atom_accuracy': 0.5867269984917044, 'confusion_matrix': {'tn': 4150, 'fp': 123, 'fn': 274, 'tp': 389}}"
3,6.744736413092773,0.1987945115616822,6.545941909902664,5.8594147000329855,0.1257921901762445,5.7336224950135595,"{'accuracy': 0.934967585089141, 'precision': 0.725, 'recall': 0.8310708898944194, 'f1': 0.7744202389318341, 'pka_atom_accuracy': 0.8310708898944194, 'confusion_matrix': {'tn': 4064, 'fp': 209, 'fn': 112, 'tp': 551}}"
4,6.3584731233818905,0.14844833360206702,6.210024792680304,6.179017379113577,0.1201452828502176,6.058872091490807,"{'accuracy': 0.9455024311183144, 'precision': 0.8517857142857143, 'recall': 0.7194570135746606, 'f1': 0.7800490596892886, 'pka_atom_accuracy': 0.7194570135746606, 'confusion_matrix': {'tn': 4190, 'fp': 83, 'fn': 186, 'tp': 477}}"
5,5.95398573548602,0.11995567065740674,5.83403005749215,5.270933309309845,0.0936837832540799,5.177249556137869,"{'accuracy': 0.965964343598055, 'precision': 0.8481012658227848, 'recall': 0.9095022624434389, 'f1': 0.8777292576419214, 'pka_atom_accuracy': 0.9095022624434389, 'confusion_matrix': {'tn': 4165, 'fp': 108, 'fn': 60, 'tp': 603}}"
6,5.702527104096492,0.1203170061841736,5.5822100939813035,5.140467660809925,0.0955120136153095,5.044955663092294,"{'accuracy': 0.964546191247974, 'precision': 0.8641791044776119, 'recall': 0.8733031674208145, 'f1': 0.8687171792948236, 'pka_atom_accuracy': 0.8733031674208145, 'confusion_matrix': {'tn': 4182, 'fp': 91, 'fn': 84, 'tp': 579}}"
7,5.518264437500236,0.10670834323314489,5.411556097632585,4.926412555380859,0.09011108210080047,4.836301465563055,"{'accuracy': 0.9671799027552674, 'precision': 0.8573466476462197, 'recall': 0.9064856711915535, 'f1': 0.8812316715542521, 'pka_atom_accuracy': 0.9064856711915535, 'confusion_matrix': {'tn': 4173, 'fp': 100, 'fn': 62, 'tp': 601}}"
8,5.150895001973428,0.10659957789435995,5.044295427135594,4.699740917832186,0.09039022482830741,4.609350690833879,"{'accuracy': 0.9669773095623987, 'precision': 0.8501400560224089, 'recall': 0.9155354449472096, 'f1': 0.8816267247639796, 'pka_atom_accuracy': 0.9155354449472096, 'confusion_matrix': {'tn': 4166, 'fp': 107, 'fn': 56, 'tp': 607}}"
9,5.122143978893589,0.09691344162899973,5.025230542874761,4.888249450094385,0.08992865477770767,4.798320782693307,"{'accuracy': 0.9657617504051864, 'precision': 0.8402203856749312, 'recall': 0.9200603318250377, 'f1': 0.8783297336213103, 'pka_atom_accuracy': 0.9200603318250377, 'confusion_matrix': {'tn': 4157, 'fp': 116, 'fn': 53, 'tp': 610}}"
10,4.753543776335635,0.09918778137095229,4.654355985302301,4.290599199659661,0.08604168965150057,4.204557509767002,"{'accuracy': 0.9665721231766613, 'precision': 0.8497191011235955, 'recall': 0.9125188536953243, 'f1': 0.88, 'pka_atom_accuracy': 0.9125188536953243, 'confusion_matrix': {'tn': 4166, 'fp': 107, 'fn': 58, 'tp': 605}}"
