smiles,true_pka_pairs,pred_pka_pairs
['CSCC[C@H](NC(=O)CN)C(O)=O'],"[(9, 8.350000381469727), (11, 3.0199999809265137)]","[(9, 8.962268829345703), (11, 3.244019031524658)]"
['OC(=O)c1cc(cc(Br)c1O)[S](O)(=O)=O'],"[(0, 2.0199999809265137), (10, 10.5)]","[(0, 3.091437339782715), (10, 7.785061359405518)]"
['CC(C)[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O'],"[(4, 7.46999979019165), (13, 10.0), (15, 3.0999999046325684)]","[(4, 7.994107246398926), (13, 8.7262544631958), (15, 2.8717050552368164)]"
['CCc1ccccn1'],"[(7, 6.039999961853027)]","[(7, 4.904267311096191)]"
['CCOC(=O)CNC(=O)CN'],"[(10, 7.730000019073486)]","[(10, 8.460380554199219)]"
['NCCC(N)=O'],"[(0, 9.199999809265137)]","[(0, 9.115267753601074)]"
['OC(=O)Cc1cccc(c1)[N+]([O-])=O'],"[(0, 3.9700000286102295)]","[(0, 3.132354736328125)]"
['CCOc1ccccc1N'],"[(9, 4.480000019073486)]","[(9, 4.206690311431885)]"
['O=C1CCNCCNC(=O)CC(=O)NCCN1'],"[(4, 8.109999656677246)]","[(4, 9.242010116577148)]"
['NCC(=O)NCC(=O)NCC(O)=O'],"[(0, 8.100000381469727), (11, 3.299999952316284)]","[(0, 8.344696998596191), (11, 3.5924344062805176)]"
['OC(=O)COc1ccccc1Br'],"[(0, 3.119999885559082)]","[(0, 3.132354736328125)]"
['OC(=O)COc1cccc(c1)C#N'],"[(0, 3.0299999713897705)]","[(0, 3.132354736328125)]"
['N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)NCC(O)=O'],"[(0, 7.96999979019165), (5, 3.0899999141693115), (30, 4.199999809265137)]","[(0, 8.155118942260742), (5, 3.5426554679870605), (30, 3.4260411262512207)]"
['NCCc1cccc(O)c1'],"[(0, 10.390000343322754), (8, 9.3100004196167)]","[(0, 9.107410430908203), (8, 9.654207229614258)]"
['s1cccc1c2ccccn2'],"[(10, 3.690000057220459)]","[(10, 4.466314792633057)]"
['Ic1cccnc1'],"[(5, 3.3499999046325684)]","[(5, 4.878598690032959)]"
['OC(Cc1ccccn1)c2ccccc2'],"[(8, 5.199999809265137)]","[(8, 5.0107316970825195)]"
['Sc1ccccc1Br'],"[(0, 5.659999847412109)]","[(0, 6.695676326751709)]"
['CC(C)C[C@H](N)C(=O)NCC(O)=O'],"[(5, 8.0600004196167), (11, 3.0899999141693115)]","[(5, 7.894532680511475), (11, 3.079174518585205)]"
['Oc1cccc(Br)c1'],"[(0, 8.890000343322754)]","[(0, 7.592041492462158)]"
['CC(=O)CCCC(O)=O'],"[(7, 4.659999847412109)]","[(7, 4.635890483856201)]"
['CC(C)[C@H](N)C(O)=O'],"[(4, 9.550000190734863), (6, 2.2899999618530273)]","[(4, 7.994107246398926), (6, 3.051680088043213)]"
['Cc1ccc(cc1)[S](=O)(=O)NCCN(CC(O)=O)CC(O)=O'],"[(10, 7.860000133514404), (16, 2.1500000953674316)]","[(10, 3.7371997833251953), (16, 3.8503618240356445)]"
['NCC=C'],"[(0, 9.520000457763672)]","[(0, 9.017044067382812)]"
['NCCCSCCN'],"[(0, 9.15999984741211), (7, 10.140000343322754)]","[(0, 9.119558334350586), (7, 9.310949325561523)]"
['CC(=O)NO'],"[(4, 9.180000305175781)]","[(4, 8.749006271362305)]"
['NCCCC[C@@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O'],"[(0, 7.389999866485596), (10, 10.449999809265137), (24, 2.7799999713897705), (27, 4.070000171661377)]","[(0, 9.119558334350586), (10, 9.012157440185547), (24, 3.637145519256592), (27, 3.2223496437072754)]"
['C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1)C(O)=O'],"[(19, 8.369999885559082), (21, 3.0999999046325684)]","[(19, 8.35711669921875), (21, 2.9915175437927246)]"
['CN1N(c2ccccc2)C(=O)C(=C1C)N'],"[(14, 4.230000019073486)]","[(14, 4.140052318572998)]"
['OC(=O)C(O)(c1ccccc1)c2ccccc2'],"[(0, 2.880000114440918)]","[(0, 3.110848903656006)]"
